"Comment Number","User Name","Comment Text","Comment Status","Comment Assigned To","Date Created","Canvas Version","Comment URL","Comment Labels","Comment Replies","Screenshot URL","Original URL","Metadata - Screen Size","Metadata - Browser","Metadata - OS"
"1","Andrew Ausel","Move this one to the top and have it say: 
October 8, 2025
UDO Advisory Committee Meeting
The UAC met on October 8 to discuss an upcoming text amendment to the UDO","active","","2025-10-01 09:59","Version 1","https://usepastel.com/link/oed9q9q3/comment/10122757/","","","https://user-assets.usepastel.com/screenshot/KcEPa4NBz9c7Btic.jpg","https://new-udo.webflow.io/articles","1905 x 851","Chrome 140.0.0.0","Windows 10"
"2","Andrew Ausel","I dont think we have three recent news items - please drop this one","active","","2025-10-01 10:00","Version 1","https://usepastel.com/link/oed9q9q3/comment/10122761/","","","https://user-assets.usepastel.com/screenshot/xgjH7wQdTMGGkfzD.jpg","https://new-udo.webflow.io/articles","1905 x 851","Chrome 140.0.0.0","Windows 10"
"3","Andrew Ausel","Move this to #2. Adjust it to:
June 16, 2025
New Text Amendment Approved
City Council approved a text amendment to make clarifying changes to the UDO.","active","","2025-10-01 10:01","Version 1","https://usepastel.com/link/oed9q9q3/comment/10122775/","","","https://user-assets.usepastel.com/screenshot/aYqDF4EvdVmHYKll.jpg","https://new-udo.webflow.io/articles","1905 x 851","Chrome 140.0.0.0","Windows 10"
"4","Andrew Ausel","Adjust the caption here to say: ""View Charlotte's zoning map through Charlotte Explorer""","active","","2025-10-01 10:02","Version 1","https://usepastel.com/link/oed9q9q3/comment/10122793/","","","https://user-assets.usepastel.com/screenshot/Vp4EfDhCXjkInfb5.jpg","https://new-udo.webflow.io/articles","1905 x 851","Chrome 140.0.0.0","Windows 10"
"5","Andrew Ausel","explore.charlottenc.gov","active","","2025-10-01 10:04","Version 1","https://usepastel.com/link/oed9q9q3/comment/10122820/","","","https://user-assets.usepastel.com/screenshot/hohfnBqTtwahlUDF.jpg","https://new-udo.webflow.io/articles","1905 x 851","Chrome 140.0.0.0","Windows 10"
"6","Andrew Ausel","""Read the regulations and standards in the UDO""","active","","2025-10-01 10:07","Version 1","https://usepastel.com/link/oed9q9q3/comment/10122851/","","","https://user-assets.usepastel.com/screenshot/wrBzDBrW3yIbhqMa.jpg","https://new-udo.webflow.io/articles","1605 x 851","Chrome 140.0.0.0","Windows 10"
"7","Andrew Ausel","Change this category tag to ""Learn""","active","","2025-10-01 10:08","Version 1","https://usepastel.com/link/oed9q9q3/comment/10122859/","","","https://user-assets.usepastel.com/screenshot/m1uvuuM19TN6jbRi.jpg","https://new-udo.webflow.io/articles","1605 x 851","Chrome 140.0.0.0","Windows 10"
"8","Andrew Ausel","Change this tag to ""Learn""","active","","2025-10-01 10:08","Version 1","https://usepastel.com/link/oed9q9q3/comment/10122861/","","","https://user-assets.usepastel.com/screenshot/PIjsoDnwPuweV81f.jpg","https://new-udo.webflow.io/articles","1605 x 851","Chrome 140.0.0.0","Windows 10"
"9","Andrew Ausel","Adjust to ""Jump into the UDO and the resources to help you understand it""","active","","2025-10-01 10:14","Version 1","https://usepastel.com/link/oed9q9q3/comment/10122928/","","","https://user-assets.usepastel.com/screenshot/0o6zNfFnQNHDU03l.jpg","https://new-udo.webflow.io/articles","1605 x 851","Chrome 140.0.0.0","Windows 10"
"10","Andrew Ausel","""Your guide to development regulations, zoning, and land use in Charlotte, NC","active","","2025-10-01 10:14","Version 1","https://usepastel.com/link/oed9q9q3/comment/10122936/","","","https://user-assets.usepastel.com/screenshot/NKgdhkI5FMivyxDt.jpg","https://new-udo.webflow.io/articles","1605 x 851","Chrome 140.0.0.0","Windows 10"
